ObjectID,Volume_um3,SurfaceArea_um2,EquivalentDiameter_um,Sphericity,MajorAxisLength_um,IntermediateAxisLength_um,MinorAxisLength_um,Elongation,Flatness,BoundingBoxX_um,BoundingBoxY_um,BoundingBoxZ_um,CentroidX_um,CentroidY_um,CentroidZ_um,SomaVolume_um3,SomaCellVolumeRatio,NumberOfSomas,PossibleMerged
54,270.630303328962,540.655393180937,8.02526288054612,0.374237986462923,20.2379809384159,16.106105707748,7.27402215226029,1.25654092340151,2.21419530634001,11.3008403835805,12.6846167570802,22,129.383544203263,7.75010864741302,50.3805031446541,0,0,0,0
55,527.324848113863,803.946917273282,10.0236648675945,0.39262285287025,25.9466434661357,14.54332521292,12.2369948107665,1.7840929145341,1.18847196046241,13.37650494383,17.9890928554956,22,162.356813480257,112.69351584926,50.6108533387129,0,0,0,0
56,269.353745294392,559.696523417775,8.01262465037367,0.360368532312225,21.3651869376435,16.9854727633749,6.9018805492625,1.2578505900473,2.46099199227519,13.8377637349966,10.1476934056642,20,39.6380155350575,204.022578499689,51.7345971563981,0,0,0,0
57,594.13138525639,1245.7909298742,10.4302477451514,0.274343046088902,28.4010159431742,18.2618242061271,16.7050797103062,1.55521242689683,1.09318988731676,20.9872749980782,25.830492305327,20,77.2414804323889,16.7433224694694,48.4580125335721,0,0,0,0
58,232.227182455631,315.888695456315,7.62614064081206,0.578396170485701,20.7735537411192,7.18836429549991,4.11721391456937,2.88988605573648,1.74592927272076,14.0683931305799,9.68643461449761,16,23.4504561057392,217.005991465155,55.0114521300962,0,0,0,0
59,422.859848951504,700.568853345468,9.3124926432875,0.388893722603808,21.0167253584899,14.6027095632615,10.4220318264268,1.43923463432877,1.40113845423442,21.2179043936614,12.2233579659136,16,24.3084543344248,77.591561370668,51.8143396226415,0,0,0,0
60,399.988184165448,487.66455861278,9.14147298113209,0.538345439802725,16.4260525404248,12.0572337219446,9.85606930291066,1.3623400623419,1.2233308585182,11.9927285703304,11.5314697791638,16,187.44183310652,113.820145703132,54.8218085106383,0,0,0,0
61,248.396917560191,370.919865819283,7.79918448268614,0.515190878627483,14.8788501306601,11.5637057972162,6.24403619073235,1.28668528857263,1.85196008542992,6.45762307633174,11.3008403835805,14,88.7205110594804,221.73934847053,54.1182012847966,0,0,0,0
62,200.632371100009,272.240623888283,7.26330243132505,0.608786757480644,12.6446273938088,9.0873110274946,3.98966947453579,1.39145973495913,2.27771024278946,10.3783228012474,4.61258791166553,12,133.422896178045,82.0295932995922,52.3340402969247,0,0,0,0
63,226.376291463849,363.099917500959,7.5615490362737,0.4947038249096,20.8810540074334,9.87428006555831,4.36595037230217,2.1146912857239,2.26165650626752,9.91706401008089,20.9872749980782,6,219.551056209626,145.494309935011,58.4248120300752,0,0,0,0
